paper_id,filename,query,expected_answer,found,,
1,tisserant_2019_global.pdf,"What crop yield and soil quality improvements did biochar provide in this study, and under what specific conditions (soil pH, texture, climate)?","Biochar increased crop yields by an average of 25% in tropical soils, especially those that are acidic, highly weathered, and low in CEC. Effects in temperate soils were mostly neutral or negative. ",yes,,
1,tisserant_2019_global.pdf,"What water-related benefits (retention, drought resilience, irrigation needs) were observed, and in which soil types or climate conditions?","Biochar improved soil water retention and plant available water, especially in coarse soils and under dry conditions.  It enhanced drought resilience and evapotranspiration. ",yes,,
1,tisserant_2019_global.pdf,"What economic or social co-benefits were reported or discussed (income, poverty, food security), including indirect benefits from agricultural improvements?","Yield increases in degraded soils are expected to improve food security and reduce land degradation risks. Increased fertiliser efficiency may lower input costs for farmers. Higher yields in nutrient-poor tropical soils may reduce poverty risks. Reduced erosion may help maintain land productivity, ",yes,,
1,tisserant_2019_global.pdf,"What environmental impacts (GHG emissions, carbon sequestration, nutrient leaching) were measured?","Biochar reduced N2O emissions by 32-38% on average and NOX by 47-67%. Nitrate leaching reduced by 12-29%. Soil carbon stability improved especially in acidic, dyr sils with high clay content. Carbon sequestration ranged from 0.04 to 1.67 tCO2 -eq. ",yes,,
2,oladele_2019_nigeria.pdf,"What crop yield and soil quality improvements did biochar provide in this study, and under what specific conditions (soil pH, texture, climate)?","Biochar improved maize yields and enhanced soil fertility in degraded, acidic soils typical of Nigeria’s tropical climate. Benefits included increased soil pH, higher organic matter, and improved nutrient retention, particularly under low-input smallholder farming conditions.",yes,,
2,oladele_2019_nigeria.pdf,"What water-related benefits (retention, drought resilience, irrigation needs) were observed, and in which soil types or climate conditions?","Biochar improved soil moisture retention and reduced water loss, enhancing drought resilience in semi-arid regions of Nigeria with erratic rainfall and dry spells, especially on soils prone to degradation.",yes,,
2,oladele_2019_nigeria.pdf,"What economic or social co-benefits were reported or discussed (income, poverty, food security), including indirect benefits from agricultural improvements?","Higher crop yields from biochar use were linked to improved food security, increased household income, and poverty reduction among smallholder farmers in rural Nigeria, with additional benefits for climate adaptation and sustainable land use.",yes,,
2,oladele_2019_nigeria.pdf,"What environmental impacts (GHG emissions, carbon sequestration, nutrient leaching) were measured?","Biochar reduced greenhouse gas emissions by stabilising soil organic carbon and decreased nutrient loss through improved retention, contributing to carbon sequestration and lower leaching in degraded soils.",yes,,
3,li_2021_global.pdf,"What crop yield and soil quality improvements did biochar provide in this study, and under what specific conditions (soil pH, texture, climate)?","Biochar was associated with increased crop yields, particularly in acidic soils, and improved soil quality through enhanced soil organic carbon, nutrient availability, and soil structure. Yield improvements were most significant under low-input conditions in the tropics and subtropics, where soils tend to be degraded and nutrient-poor.",yes,,
3,li_2021_global.pdf,"What water-related benefits (retention, drought resilience, irrigation needs) were observed, and in which soil types or climate conditions?","Biochar improved water holding capacity and drought resilience, especially in coarse-textured soils and dryland regions, helping maintain soil moisture under water-limited conditions. This effect was more pronounced in sandy soilsand arid climates.",yes,,
3,li_2021_global.pdf,"What economic or social co-benefits were reported or discussed (income, poverty, food security), including indirect benefits from agricultural improvements?","Yield increases in smallholder systems were linked to potential improvements in food security and livelihoods. The study highlighted that biochar use can support agricultural productivity and climate resilience, especially for resource-poor farmers in the Global South.",yes,,
3,li_2021_global.pdf,"What environmental impacts (GHG emissions, carbon sequestration, nutrient leaching) were measured?","Biochar significantly reduced N2O emissions and improved carbon sequestration, with long-term stability of soil carbon observed in multiple studies. It also lowered nutrient leaching, especially of nitrogen, thereby reducing environmental contamination.",yes,,
4,krause_2018_switzerland.pdf,"What crop yield and soil quality improvements did biochar provide in this study, and under what specific conditions (soil pH, texture, climate)?","The study reported that biochar application in temperate soils of Switzerland did not consistently improve crop yields but did enhance soil structure, cation exchange capacity, and microbial biomass, particularly in soils with low initial fertility. It noted that yield effects in temperate climates were variable or neutral, with some benefits occurring under depleted soil conditions.",yes,,
4,krause_2018_switzerland.pdf,"What water-related benefits (retention, drought resilience, irrigation needs) were observed, and in which soil types or climate conditions?","Biochar contributed to increased soil water retention and improved soil porosity, particularly in light-textured soils, helping to buffer water stress during dry periods in a temperate climate.",yes,,
4,krause_2018_switzerland.pdf,"What economic or social co-benefits were reported or discussed (income, poverty, food security), including indirect benefits from agricultural improvements?","Economic benefits were discussed in relation to long-term soil health improvement and reduced fertiliser needs, which may lower production costs. The study also referenced potential policy incentives and market value for biochar-related carbon credits, though no direct poverty or food security impacts were measured.",yes,,
4,krause_2018_switzerland.pdf,"What environmental impacts (GHG emissions, carbon sequestration, nutrient leaching) were measured?","The study confirmed that biochar contributed to carbon sequestration by adding stable carbon to the soil and reduced nitrate leaching in some trials. It noted that greenhouse gas emissions (e.g., N2O) were not consistently reduced across all field sites, highlighting variability in temperate conditions.",yes,,
5,horak_2021_slovakia.pdf,"What crop yield and soil quality improvements did biochar provide in this study, and under what specific conditions (soil pH, texture, climate)?","Biochar improved soil quality by increasing soil organic carbon, pH, and nutrient levels, particularly in the sandy-loam soils of Slovakia under moderately acidic conditions. Yield improvements were modest but observable in maize and wheat, with the strongest effects seen on degraded agricultural land in a temperate continental climate.",yes,,
5,horak_2021_slovakia.pdf,"What water-related benefits (retention, drought resilience, irrigation needs) were observed, and in which soil types or climate conditions?","Water retention was enhanced in biochar-treated plots, particularly in light-textured soils, helping improve resilience to drought periods common in the region’s temperate climate. The benefits were most notable in soils with initially low water-holding capacity.",yes,,
5,horak_2021_slovakia.pdf,"What economic or social co-benefits were reported or discussed (income, poverty, food security), including indirect benefits from agricultural improvements?","The study discussed the potential economic benefit of biochar through increased crop productivity and improved soil fertility, which could lead to more stable yields and support long-term food security in rural areas, although no direct income or poverty measurements were made.",yes,,
5,horak_2021_slovakia.pdf,"What environmental impacts (GHG emissions, carbon sequestration, nutrient leaching) were measured?","Biochar significantly increased soil carbon stocks, indicating its potential for carbon sequestration. It also reduced nitrate leaching and helped stabilise nutrients in the soil profile, though the study did not directly measure greenhouse gas emissions.",yes,,
6,cabrera_2021_usa.pdf,"What crop yield and soil quality improvements did biochar provide in this study, and under what specific conditions (soil pH, texture, climate)?","Biochar improved soil pH, nutrient retention, and cation exchange capacity in acidic, low-fertility soils in the southeastern United States, under a humid subtropical climate. However, crop yield responses were inconsistent, with some increases in forage and maize yields under acidic and sandy soils, while other trials showed no significant yield changes.",yes,,
6,cabrera_2021_usa.pdf,"What water-related benefits (retention, drought resilience, irrigation needs) were observed, and in which soil types or climate conditions?","Biochar enhanced soil water retention and reduced irrigation needs, particularly in coarse-textured, sandy soils under dry summer conditions typical of the humid subtropical region. This benefit was most notable in treatments with limited rainfall or during seasonal droughts.",yes,,
6,cabrera_2021_usa.pdf,"What economic or social co-benefits were reported or discussed (income, poverty, food security), including indirect benefits from agricultural improvements?","The study suggested that improved soil quality from biochar could lead to long-term productivity gains and potentially reduce input costs such as lime and fertiliser, but no direct measurements of economic or social impacts like income or food security were provided.",yes,,
6,cabrera_2021_usa.pdf,"What environmental impacts (GHG emissions, carbon sequestration, nutrient leaching) were measured?",Biochar contributed to carbon sequestration by increasing soil carbon content and also reduced nitrate leaching in some trials. Effects on greenhouse gas emissions such as N2O were variable and not consistently observed across the study sites.,yes,,
7,mansoor_2021_global.pdf,"What crop yield and soil quality improvements did biochar provide in this study, and under what specific conditions (soil pH, texture, climate)?","Biochar improved crop yields across multiple studies, especially in acidic and nutrient-poor soils under tropical and subtropical climates. Soil quality enhancements included increased soil organic carbon, pH, nutrient retention, and microbial activity, with stronger effects in sandy or degraded soils. Yield responses were more positive when biochar was applied in low-input farming systems.",yes,,
7,mansoor_2021_global.pdf,"What water-related benefits (retention, drought resilience, irrigation needs) were observed, and in which soil types or climate conditions?","Biochar improved water holding capacity and plant-available water, especially in sandy or coarse-textured soils and semi-arid to arid regions, contributing to drought resilience and reduced water stress. Benefits were also seen in reducing irrigation frequency in dry climates.",yes,,
7,mansoor_2021_global.pdf,"What economic or social co-benefits were reported or discussed (income, poverty, food security), including indirect benefits from agricultural improvements?","The study highlighted that improved yields and input efficiency could enhance food security and reduce farmer vulnerability, particularly for smallholders in developing countries. It also noted the potential for cost savings from reduced fertiliser and water use, although quantitative economic impacts were not measured.",yes,,
7,mansoor_2021_global.pdf,"What environmental impacts (GHG emissions, carbon sequestration, nutrient leaching) were measured?","Biochar significantly enhanced carbon sequestration by stabilising carbon in soils and reduced N2O emissions and nitrate leaching across a range of studies. The review confirmed strong mitigation potential for GHG emissions, especially in croplands with high nitrogen fertiliser use.",yes,,
8,zacher_2025_germany.pdf,"What crop yield and soil quality improvements did biochar provide in this study, and under what specific conditions (soil pH, texture, climate)?","The study found no consistent crop yield improvements from biochar application in temperate German soils, which were generally loamy with neutral to slightly alkaline pH. However, biochar did improve soil structure, nutrient retention, and microbial biomass, particularly under conditions of low initial fertility or organic matter.",yes,,
8,zacher_2025_germany.pdf,"What water-related benefits (retention, drought resilience, irrigation needs) were observed, and in which soil types or climate conditions?",Biochar slightly increased water holding capacity in lighter soils but had limited impact on water retention in the loamy soils of this study’s temperate climate. The effect on drought resilience was minimal under the observed conditions.,yes,,
8,zacher_2025_germany.pdf,"What economic or social co-benefits were reported or discussed (income, poverty, food security), including indirect benefits from agricultural improvements?","The study did not report direct economic or social co-benefits but noted that improved soil properties could support long-term sustainability of agricultural systems. It also discussed potential future value from carbon credit markets but provided no assessment of income, poverty, or food security outcomes.",yes,,
8,zacher_2025_germany.pdf,"What environmental impacts (GHG emissions, carbon sequestration, nutrient leaching) were measured?","Biochar led to measurable increases in soil carbon stocks, supporting carbon sequestration, and modest reductions in nitrate leaching, particularly under high rainfall conditions. However, N2O emissions did not significantly decrease across treatments.",yes,,
9,faye_2021_senegal.pdf,"What crop yield and soil quality improvements did biochar provide in this study, and under what specific conditions (soil pH, texture, climate)?","Biochar significantly increased millet yields and improved soil quality in sandy, acidic soils of semi-arid Senegal. The study reported higher soil organic carbon, nutrient availability, and pH, with the strongest effects in degraded soilsunder low-input, smallholder farming conditions.",yes,,
9,faye_2021_senegal.pdf,"What water-related benefits (retention, drought resilience, irrigation needs) were observed, and in which soil types or climate conditions?","The study found that biochar enhanced soil moisture retention in sandy soils, reducing water stress during dry periods typical of the semi-arid climate, and potentially lowering the need for irrigation.",yes,,
9,faye_2021_senegal.pdf,"What economic or social co-benefits were reported or discussed (income, poverty, food security), including indirect benefits from agricultural improvements?","Improved yields contributed to food security and potentially higher income stability for smallholder farmers. The study also linked biochar’s soil-enhancing effects to resilience against climate variability, supporting livelihoods in vulnerable communities.",yes,,
9,faye_2021_senegal.pdf,"What environmental impacts (GHG emissions, carbon sequestration, nutrient leaching) were measured?","Biochar increased soil carbon stocks, indicating effective carbon sequestration, and reduced nitrate leaching in sandy soils. Although GHG emissions were not directly measured, the study emphasised biochar’s potential to reduce emissions indirectly through improved nutrient efficiency.",yes,,
10,hale_2020_indonesia.pdf,"What crop yield and soil quality improvements did biochar provide in this study, and under what specific conditions (soil pH, texture, climate)?","Biochar improved soil pH, base saturation, and nutrient retention in acidic, highly weathered tropical soils of Sumatra, Indonesia, leading to increased maize and rice yields in low-input systems. The most pronounced effects were observed on degraded, clay-rich soils with low organic matter and high acidity.",yes,,
10,hale_2020_indonesia.pdf,"What water-related benefits (retention, drought resilience, irrigation needs) were observed, and in which soil types or climate conditions?","Biochar increased soil water holding capacity, especially in clay and loam soils, and buffered crops against dry spellscommon during the late wet season in tropical climates. This effect reduced crop stress and contributed to more consistent yields.",yes,,
10,hale_2020_indonesia.pdf,"What economic or social co-benefits were reported or discussed (income, poverty, food security), including indirect benefits from agricultural improvements?","The study linked yield improvements to increased food security and better economic returns for smallholder farmers, particularly those facing declining soil fertility. It also suggested that biochar could reduce dependency on external inputs, supporting more sustainable livelihoods.",yes,,
10,hale_2020_indonesia.pdf,"What environmental impacts (GHG emissions, carbon sequestration, nutrient leaching) were measured?","Biochar enhanced carbon sequestration, with stable carbon retention in tropical soils, and reduced nitrate leaching by improving nutrient binding capacity. The study also noted potential N2O emission reductions, though GHG measurements were based on model estimates rather than field data.",yes,,
11,gwenzi_2015_africa.pdf,"What crop yield and soil quality improvements did biochar provide in this study, and under what specific conditions (soil pH, texture, climate)?","Biochar improved crop yields and soil quality in acidic, nutrient-poor tropical soils commonly found across sub-Saharan Africa. Reported benefits included increased soil pH, organic matter, and cation exchange capacity, especially in sandy soils under low-input smallholder farming systems. Yield gains were more pronounced in degraded or exhausted soils, often in semi-arid to sub-humid climates.",yes,,
11,gwenzi_2015_africa.pdf,"What water-related benefits (retention, drought resilience, irrigation needs) were observed, and in which soil types or climate conditions?","Biochar enhanced water retention, reduced evapotranspiration, and improved soil moisture availability in sandy and degraded soils typical of semi-arid regions, which helped mitigate the effects of seasonal droughts.",yes,,
11,gwenzi_2015_africa.pdf,"What economic or social co-benefits were reported or discussed (income, poverty, food security), including indirect benefits from agricultural improvements?","The study highlighted biochar’s role in enhancing food security, reducing fertiliser dependence, and increasing farm profitability in resource-poor rural communities. By restoring productivity to exhausted soils, biochar could contribute to poverty alleviation and climate resilience among smallholder farmers.",yes,,
11,gwenzi_2015_africa.pdf,"What environmental impacts (GHG emissions, carbon sequestration, nutrient leaching) were measured?","Biochar promoted carbon sequestration in tropical soils, improved nutrient retention, and reduced nitrate and phosphate leaching. The paper also discussed the potential for reducing N2O emissions, although direct field data from Africa were limited.",yes,,
12,lee_2023_asia.pdf,"What crop yield and soil quality improvements did biochar provide in this study, and under what specific conditions (soil pH, texture, climate)?","Biochar improved crop yields and soil quality across various sites in South and Southeast Asia, particularly in acidic and degraded soils with low organic matter. The strongest effects were observed in tropical and subtropical climatesunder low-input farming, where biochar increased soil pH, cation exchange capacity, and nutrient availability, particularly in sandy loam and clay loam soils.",yes,,
12,lee_2023_asia.pdf,"What water-related benefits (retention, drought resilience, irrigation needs) were observed, and in which soil types or climate conditions?","Biochar enhanced water holding capacity and drought resilience, particularly in sandy and coarse-textured soils in regions experiencing seasonal drought. The study noted reduced irrigation needs and improved plant survival during dry spells in semi-arid and monsoonal climates.",yes,,
12,lee_2023_asia.pdf,"What economic or social co-benefits were reported or discussed (income, poverty, food security), including indirect benefits from agricultural improvements?","The study linked increased yields and reduced input needs to improvements in food security, income stability, and climate resilience for smallholder farmers. It also highlighted potential for poverty reduction through increased productivity and sustainability of farming in marginal areas.",yes,,
12,lee_2023_asia.pdf,"What environmental impacts (GHG emissions, carbon sequestration, nutrient leaching) were measured?","Biochar was shown to enhance carbon sequestration, reduce N2O emissions, and lower nitrate leaching, particularly in fertilised rice systems and upland cropping zones. The effects were more consistent in high-rainfall regions, where nutrient loss is typically greater.",yes,,
13,shoudho_2024_global.pdf,"What crop yield and soil quality improvements did biochar provide in this study, and under what specific conditions (soil pH, texture, climate)?","Biochar consistently improved crop yields and soil quality in acidic, nutrient-poor tropical and subtropical soils, particularly under low-input conditions. The study noted increases in soil pH, organic carbon, and nutrient retention, with the most notable effects in sandy and loamy soils used in smallholder agriculture across Asia, Africa, and Latin America.",yes,,
13,shoudho_2024_global.pdf,"What water-related benefits (retention, drought resilience, irrigation needs) were observed, and in which soil types or climate conditions?","Biochar improved soil water holding capacity and drought resilience, especially in coarse-textured and degraded soils across semi-arid and tropical regions. These improvements led to reduced irrigation frequency and better crop survival under intermittent dry spells.",yes,,
